,id,image_id,angry,disgust,fear,happy,sad,surprise,neutral,other
0,0,1000_4_6,5.24826864420902e-05,0.0008558480185456574,0.00044000017805956304,9.970321843866259e-05,0.0003595060552470386,0.9988948702812195,0.9999974966049194,8.892679761629552e-05
1,1,1000_5_1,0.0002570493088569492,0.028171559795737267,0.0005768184782937169,0.2242581695318222,0.350312203168869,0.2869156002998352,0.6880358457565308,0.06790705770254135
2,2,1003_33_2,0.9876396059989929,0.44965967535972595,0.005911561660468578,2.7801600026577944e-06,0.0007506243418902159,0.9998346567153931,0.40426912903785706,7.159774395404384e-05
3,3,1004_29_6,0.006920157466083765,0.7767701148986816,0.6557276248931885,4.7411234049832274e-08,0.001346669509075582,0.9977737069129944,0.9939978122711182,3.8339330785674974e-05
4,4,1009_14_1,0.00297043239697814,0.009443940594792366,0.9873360991477966,0.014627872966229916,0.017847878858447075,0.014782922342419624,0.8089436888694763,0.0006904674810357392
5,5,1009_9_5,0.00023980275727808475,0.1624497026205063,0.792843759059906,0.9956676959991455,0.000378616590751335,0.0022467374801635742,0.7004421353340149,0.00055620790226385
6,6,1011_21_5,0.01133152935653925,0.1090843454003334,0.815333366394043,0.6929996013641357,0.0020747652743011713,0.010026270523667336,0.9916753768920898,0.025925248861312866
7,7,1012_20_0,0.8172206878662109,0.04046233743429184,0.12098072469234467,0.29672497510910034,0.005146607756614685,0.8402750492095947,0.668820321559906,0.0045504034496843815
8,8,1013_44_5,0.2657826840877533,0.13924267888069153,0.07435811311006546,0.03235672041773796,0.004249791614711285,0.0015861439751461148,0.9999924898147583,0.00048146292101591825
9,9,1014_6_4,3.914701665053144e-06,0.9575871229171753,0.0002491833292879164,0.012560086324810982,5.170064832782373e-05,6.941948868188774e-06,0.9993256330490112,0.00437379814684391
10,10,1017_9_0,0.021271299570798874,0.15316587686538696,0.00012602638162206858,0.0003792896750383079,0.0738735944032669,0.4345589578151703,0.9999994039535522,0.007287334650754929
11,11,1018_3_1,0.020054856315255165,0.5268850922584534,0.23503926396369934,0.9949656128883362,0.11387482285499573,0.20920991897583008,0.16915491223335266,0.033428750932216644
12,12,1019_37_4,0.11814527958631516,0.20801785588264465,0.7900142073631287,0.4844569265842438,0.1604793518781662,0.47772422432899475,0.3671419620513916,0.14716565608978271
13,13,102_15_6,0.0026554653886705637,0.08335243165493011,0.0027713452000170946,0.97219318151474,0.018744992092251778,0.012930450960993767,0.990092933177948,0.08811470866203308
14,14,102_37_4,5.509680704562925e-06,0.6831752061843872,0.8966985940933228,0.1865301877260208,0.0008041353430598974,0.9999748468399048,0.20314842462539673,0.010312561877071857
15,15,102_46_6,0.0016462261555716395,0.07351082563400269,0.15021952986717224,8.866134885465726e-05,0.0002868450537789613,0.9993094205856323,0.9998772144317627,0.00019305534078739583
16,16,1025_26_2,0.6474279165267944,0.053725726902484894,9.475872502662241e-05,0.008979481644928455,0.002329941838979721,0.6014316082000732,0.9999967813491821,0.00041236705146729946
17,17,1029_14_1,0.9999058246612549,0.34591376781463623,0.05724714323878288,0.00034358404809609056,0.0065348767675459385,0.5773410201072693,0.9623960852622986,0.021824335679411888
18,18,1032_30_6,0.3817687928676605,0.24871748685836792,0.03822650760412216,0.9742868542671204,0.12248080223798752,0.010766594670712948,0.82893306016922,0.1350354701280594
19,19,103_43_1,0.3151836693286896,0.4952835738658905,0.7339736223220825,0.12207186967134476,0.15236227214336395,0.8660258650779724,0.2158917337656021,0.2275916337966919
20,20,103_46_7,0.0002766243414953351,0.9938769936561584,1.1865975466207601e-05,0.014406662434339523,5.2214149945939425e-06,0.0015029574278742075,0.9999997615814209,2.2918720787856728e-06
21,21,1037_35_3,0.8904746770858765,0.15006308257579803,0.01067029032856226,0.000768729078117758,0.005064515862613916,0.9999775886535645,0.951396107673645,0.343290239572525
22,22,1037_37_6,1.9266190065536648e-05,0.9980950951576233,0.001082268194295466,0.0053450907580554485,0.00011466835712781176,0.9576030969619751,0.9761150479316711,2.0838322598137893e-05
23,23,1038_15_0,0.00014551069762092084,0.00498752947896719,0.0025708202738314867,0.018612243235111237,0.16743524372577667,0.995837926864624,0.999778687953949,0.05256201699376106
24,24,1041_23_6,0.0011480083921924233,0.17483285069465637,0.5539246797561646,0.024406759068369865,0.05292345955967903,0.8288965225219727,0.9739514589309692,0.02580716274678707
25,25,105_16_4,0.985870361328125,0.26965123414993286,0.7198699116706848,0.004448859021067619,0.008574732579290867,0.08530061691999435,0.9415846467018127,0.0006845424650236964
26,26,105_20_5,0.2273900955915451,0.23284055292606354,0.9706019759178162,0.014420954510569572,0.15617911517620087,0.7905259132385254,0.36768367886543274,0.0011758903274312615
27,27,105_31_2,0.26815444231033325,0.9994801878929138,0.0055502355098724365,3.543427240515484e-08,6.0522153944475576e-05,2.467886872636882e-07,0.9999918937683105,4.180784571872209e-07
28,28,1055_3_3,1.1069346328440588e-06,0.2211485356092453,0.036428969353437424,6.725270395691041e-06,0.012259959243237972,0.03657050058245659,0.9999799728393555,0.003353545907884836
29,29,10_5_5,0.3526693284511566,0.9959568381309509,0.9891263842582703,0.00027924447203986347,2.5956538593163714e-05,0.11446014046669006,0.738301157951355,0.0001347643556073308
30,30,1057_24_2,0.35366132855415344,0.33859261870384216,0.4040703773498535,0.3567963242530823,0.1688144952058792,0.41465064883232117,0.6890255212783813,0.11085569113492966
31,31,1063_6_0,0.35203662514686584,0.33913692831993103,0.40617749094963074,0.3529675304889679,0.16845615208148956,0.4102678596973419,0.6936431527137756,0.1101377084851265
32,32,106_6_4,0.00463901786133647,0.0015096594579517841,0.26521867513656616,0.0034387654159218073,0.00011386802361812443,0.9946590065956116,0.9982296824455261,5.632976535707712e-05
33,33,1066_8_4,0.7278303503990173,0.11722506582736969,0.6061046123504639,0.08247557282447815,0.02621626853942871,0.35836783051490784,0.8738483786582947,0.029950596392154694
34,34,1066_9_3,0.01683974266052246,0.05190819874405861,0.12061046063899994,0.9764019250869751,0.08115394413471222,0.415012001991272,0.20837120711803436,0.1654287725687027
35,35,1071_26_2,0.8298590779304504,0.9237782955169678,0.9991809725761414,0.004881102591753006,8.741016790736467e-05,7.956891204230487e-05,0.9801648855209351,0.008140883408486843
36,36,1071_26_4,1.2715268837837357e-09,7.161489065765636e-06,0.9925246834754944,0.007079514674842358,0.00015485164476558566,0.6937673091888428,0.9995858073234558,1.3396819440458785e-06
37,37,1073_6_3,0.9480485916137695,0.5929610133171082,0.9517702460289001,2.8927874154760502e-05,0.002668011002242565,0.8295868635177612,0.9081150889396667,0.0013982480159029365
38,38,1079_24_1,0.9637093544006348,0.247895285487175,0.9185787439346313,0.012554523535072803,0.00617546821013093,0.9983508586883545,0.15562103688716888,0.041731711477041245
39,39,1080_11_5,0.8973637819290161,0.19460266828536987,0.20039096474647522,0.33739882707595825,0.09412625432014465,0.2714438736438751,0.7402212619781494,0.07370208203792572
40,40,1080_22_5,0.015773942694067955,0.018219012767076492,0.00039063964504748583,0.1118365079164505,3.3063438422686886e-06,0.014793370850384235,0.9999895095825195,9.17319703148678e-05
41,41,108_48_2,0.01557606365531683,0.4265271723270416,0.0763126090168953,0.0065084039233624935,0.14919832348823547,0.12134186923503876,0.9982582926750183,0.185719832777977
42,42,1085_29_4,0.0045229108072817326,0.39868801832199097,0.3192572593688965,0.1992911547422409,0.05497898906469345,0.6123964786529541,0.9903164505958557,0.005211574491113424
43,43,1085_34_2,0.9726698398590088,0.9994447827339172,0.6190537214279175,0.0027373728808015585,0.0067571010440588,0.03359925001859665,0.9868541955947876,0.0006953708943910897
44,44,1087_48_5,0.008882560767233372,0.9392387270927429,0.979150652885437,0.05194895714521408,0.003114973194897175,0.998869001865387,0.0007575798663310707,3.910835857823258e-06
45,45,1090_18_4,0.9783473014831543,0.49106085300445557,0.2600446939468384,0.060904331505298615,0.01431168895214796,0.9626545310020447,0.002767216647043824,0.007434531580656767
